Alan Ford;154;Roma, New York, Roma ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;155;Melissa ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;156;La melassa di Melissa ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;157;Caccia a Melissa ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;158;Il gobbo reale ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;159;Il segreto del gobbo ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;160;Il gioco della verita` ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;161;Renato uno come te non c`e` nessuno ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;162;Sketches ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;163;Il ritorno impossibile (quasi) ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;164;La vendetta del Cospiratore ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;165;Ospedale San Demente ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;166;Loggia P38 ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;167;Losche trame ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;169;A.P.S. (Assistenza Pronta Subito) ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;170;L`imprevedibile ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;172;Kron ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;173;L`uomo computer ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;176;Festival ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;354;Lo spirito di Natale ;Piffarerio Paolo;Bunker Max;Max Bunker Production;F
Alan Ford;132;Ipnos suite ;Macchi P;Bunker Max;Max Bunker Production;F
Alan Ford;175;L`abbuffata di Natale ;Chiarini P;Bunker Max;Max Bunker Production;F
Alan Ford;178;Che fine ha fatto Puzzone Massey? ;Chiarini P;Bunker Max;Max Bunker Production;F
Alan Ford;181;Olimpiadi gialle ;Chiarini P;Bunker Max;Max Bunker Production;F
Alan Ford;330;Natale al solleone ;Oskar ;Bunker Max;Max Bunker Production;F
Alan Ford;365;Frick ;Oskar ;Bunker Max;Max Bunker Production;F
Alan Ford;306;Magro Natale ;Pistolato O;Bunker Max;Max Bunker Production;F
Alan Ford;349;Viaggi O.K. tutto compreso! ;Pistolato O;Bunker Max;Max Bunker Production;F
Alan Ford;350;Oh-oh Strabalda / Cosi` nacque il Gruppo TNT (doppio) ;Pistolato O;Bunker Max;Max Bunker Production;F
Alan Ford;351;Lollipop ;Pistolato O;Bunker Max;Max Bunker Production;F
Alan Ford;376;L`anima gemella ;Pistolato O;Bunker Max;Max Bunker Production;F
Alan Ford;379;Week-end ;Pistolato O;Bunker Max;Max Bunker Production;F
Alan Ford;381;Gelato gusto branzino ;Pistolato O;Bunker Max;Max Bunker Production;F
Alan Ford;391;Cogito ergo sum ;Pistolato O;Bunker Max;Max Bunker Production;F
Alan Ford;1;Il Gruppo T.N.T ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;2;Il dente cariato ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;3;Operazione Frankenstein ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;4;La casa dei fantasmi ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;5;Date! Date! Date! ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;6;Alex Barry non c`e` piu` ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;7;Una gita a San Guerreta ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;8;L`albero di Natale ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;9;Zoo symphony ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;10;Formule ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;11;Il Numero Uno ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;12;La triste storia di un giovane ricco ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;13;Golf ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;14;Uno, due, tre, quattro ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;15;Il colpo di fulmine ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;16;Un voto per Notax ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;17;Cure termali ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;18;Il cane da un milione di dollari ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;19;I 3 di Yuma ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;20;Frit Frut ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;21;Bombafobia ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;22;La paura fa spavento ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;23;Sogno di una notte di mezz`inverno ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;24;Boy-Scout ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;25;Due balzi in piu` ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;26;Superciuk ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;27;La minaccia alcoolica ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;28;Il fiasco spezzato ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;29;Circus ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;30;Santa Claus Story ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;31;Il giorno della befana ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;32;Quando il cuore fa bi-bim ba-bam ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;33;Lo spennagrulli ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;34;Bluefarm ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;35;La dozzina del pentagramma ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;36;Il Centurione ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;37;Il colonnello Lapislazuli ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;38;Le grandi vacanze ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;39;Belle Epoque ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;40;Ecologia ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;41;Missione da siuri ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;42;Grasso Natale ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;43;La festa di Capodanno ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;44;C`era una volta una taglia ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;45;Piano concerto al Centimetropolitan ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;46;Rischia o trapassa ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;47;La minaccia di Aseptik ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;48;Il ricco zio e` morto ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;49;Derby ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;50;Cosi` nacque il Gruppo TNT ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;51;Il ritorno di Superciuk ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;52;Il grande colpo di Superciuk ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;53;Arsenico Lupon ;Magnus ;Bunker Max;Max Bunker Production;F
Alan Ford;54;L`inghippo di Bu-Bu ;Magnus ;Bunker Max;Max Bunker Production;F
